age,income,score,transactions,balance,churn
41,71516,693,42,10226,1
45,32992,349,46,9815,0
62,85628,553,4,13811,1
29,20523,820,66,37333,1
45,21339,643,85,36047,0
22,84307,528,47,36452,1
36,51798,510,52,9093,1
25,64642,840,36,15883,1
61,65894,350,88,47631,0
54,27982,608,3,9720,1
45,47608,467,55,27506,1
61,79487,747,46,38241,1
60,82363,614,95,38500,0
22,21019,395,74,42681,0
25,54777,676,74,45530,0
65,47704,527,11,36740,1
41,84713,337,77,33269,1
37,65280,481,84,26762,0
52,67688,664,59,14244,1
23,29634,798,63,24254,0
22,84197,846,99,35050,1
27,75493,526,27,12234,1
45,24035,637,63,47879,1
29,55552,617,67,20788,0
32,54819,341,87,41226,0
20,87611,534,85,40768,1
40,38495,442,31,38480,0
69,62123,831,85,40815,0
53,62153,484,72,39984,1
24,25363,701,28,14488,0
18,27589,623,22,41014,1
25,88881,327,90,30062,0
44,42207,569,72,49522,0
66,42309,552,95,45721,1
39,24191,549,3,49825,0
69,85439,669,55,25359,1
48,37969,593,82,48917,1
60,95460,658,76,85,0
56,26122,497,31,35615,0
28,50408,488,62,4293,0
60,47574,453,99,9857,0
38,39218,519,45,33606,0
32,76043,760,84,906,0
45,81457,473,18,15887,0
55,37053,509,29,41010,1
40,62990,451,82,12454,1
44,33363,649,74,1210,0
36,65559,437,69,35554,1
62,53607,486,34,49996,1
33,49685,675,97,6889,1
29,78000,691,83,15435,0
68,67762,546,50,7671,1
40,88621,833,47,9596,0
68,25903,740,78,40997,0
24,63598,735,64,36973,1
67,98179,603,90,9674,0
63,89137,419,70,31841,1
63,46599,387,39,23960,0
47,56574,705,86,1494,0
33,60487,732,4,21319,1
67,97836,775,98,11626,1
49,45928,848,48,5867,0
58,47455,448,64,30513,1
38,92624,807,68,8441,0
21,68757,581,57,21507,1
24,37893,782,2,30141,1
44,21862,570,87,18903,1
60,85687,684,84,25918,0
23,54275,735,27,30732,1
37,26426,773,13,27644,1
61,60234,808,99,7144,1
61,88233,693,19,33599,0
29,69918,425,21,20877,0
31,87955,475,73,15844,1
59,42460,548,11,18773,1
51,73013,812,35,15819,1
69,34828,631,74,38722,0
61,93013,681,41,21215,0
