sqft,bedrooms,bathrooms,age,price
2298,3,2,10,369562
2541,3,2,20,448140
1613,4,3,25,410593
2409,1,1,14,253868
2873,4,2,25,470996
1804,3,1,23,276023
2254,3,3,24,158523
1337,3,1,11,171457
2539,4,3,7,398511
1984,4,1,22,182933
1757,3,3,21,453028
1831,2,2,5,456122
785,4,1,14,259682
629,3,2,14,153301
700,3,1,3,409830
2810,4,1,9,165631
1612,2,1,15,261870
1891,4,1,17,266490
2921,1,2,26,279976
1122,4,1,4,92893
1099,1,1,9,411214
2276,4,3,9,170872
1346,1,2,9,94280
1422,4,3,9,196748
1860,1,2,18,110161
554,1,3,28,114077
2164,1,3,15,330300
1813,4,3,12,262239
2975,4,2,27,396724
1193,3,2,11,241776
2515,2,3,6,157006
836,3,3,8,197437
1247,2,1,18,461948
2986,2,2,17,209163
2590,4,1,23,363828
775,2,1,14,308702
1748,3,1,11,65261
804,1,3,19,85619
763,4,3,24,178090
1619,2,2,27,350636
1558,4,2,10,307233
1581,1,3,21,456246
1161,3,2,14,270486
1239,2,1,24,202447
2137,3,1,17,361341
1394,3,2,17,131007
1770,4,1,8,175258
1265,2,1,23,441088
907,4,2,26,282577
1365,1,2,0,386634
2875,1,1,24,81586
2979,1,3,2,115225
1306,2,1,10,151889
1618,4,3,12,134361
1097,4,2,10,376867
758,1,3,16,136809
779,2,3,26,486418
1093,2,2,1,340508
854,2,1,8,91504
2627,1,2,8,381891
1341,3,1,17,326709
1890,2,1,25,162099
1139,1,2,19,82920
1726,3,1,7,75083
1760,4,1,4,210791
1506,3,1,14,483364
2606,4,3,9,122742
2512,1,3,10,478584
964,3,2,14,363232
2563,3,1,19,345726
2048,3,1,6,457997
2046,4,2,29,484495
2136,4,2,22,385016
2703,2,1,29,495129
1791,4,2,8,351516
2888,4,2,27,258460
824,3,3,29,131304
1938,2,2,12,127962
1063,4,1,1,412727
1274,2,2,7,364642
2586,2,3,18,239500
2790,2,3,3,62744
685,3,2,21,313489
1333,2,3,14,87638
2489,3,3,15,249361
1763,2,1,23,469625
2430,1,2,8,112745
2358,4,3,26,339483
853,1,2,27,121631
2564,3,2,13,382559
1015,4,3,19,407912
2008,1,1,14,331017
2970,4,3,5,68576
1172,3,1,28,304024
512,2,3,25,349461
1732,2,1,11,118149
2369,1,3,14,498458
2456,1,1,2,430867
1532,3,1,3,410413
563,2,1,27,311144
1395,4,2,3,396248
2234,2,2,16,86306
1796,4,1,5,408813
867,1,2,17,376789
1246,3,1,10,241939
1432,1,2,11,207559
1754,4,1,8,196115
1074,3,1,4,241903
2672,4,2,20,70494
1654,3,2,2,359807
630,4,1,24,325839
1571,3,1,3,389004
2043,4,3,11,323376
2039,4,2,26,268014
2992,1,1,13,313908
2914,4,3,13,297062
1816,1,1,9,69561
2486,4,2,14,52330
2077,1,2,14,374213
1958,1,1,9,272695
2008,1,2,14,315096
2729,3,2,16,330023
1345,4,3,8,167858
875,2,2,26,237748
1095,3,3,20,65737
2824,2,1,15,59794
2501,3,3,21,274992
2026,4,1,25,378487
1515,4,2,10,468941
2606,1,1,23,77851
2804,4,2,6,214566
2834,1,1,28,131178
2832,3,2,16,158498
2878,4,3,6,57137
621,1,1,6,93207
2796,4,2,26,216275
2795,2,2,21,222886
2026,1,1,5,438467
1918,4,2,16,219533
2228,4,3,12,65279
1721,1,2,8,411182
2003,3,1,16,482930
2196,4,3,9,228219
2883,2,1,6,300075
2091,1,2,4,479231
1232,1,3,12,401407
2887,3,2,7,210602
2655,4,1,25,197367
2211,2,2,29,105027
2391,3,1,17,109271
808,1,2,4,217996
1554,1,2,0,440339
1249,4,3,19,319843
1616,1,1,3,139548
1869,3,1,19,269570
1290,4,1,19,58685
2524,1,2,19,214592
1010,1,3,29,107466
2246,1,3,22,488778
2178,1,2,7,495263
2784,4,1,3,420228
1875,4,1,2,383775
1108,1,3,9,373655
