NAME,PRICE,CUSINE_CATEGORY,REGION,CUSINE TYPE,TIMING,RATING_TYPE,RATING,VOTES,DAYS_OPEN
Restaurant_1,960,Chinese,Powai,Cafe,10am to 11pm,Average,3.0,7038,Mon-Sun
Restaurant_2,1394,Chinese,Borivali,Dessert Parlor,11am to 12midnight,Average,3.8,1052,Tue-Sun
Restaurant_3,1230,Fast Food,Dadar,Cafe,10am to 11pm,Excellent,3.6,4723,Tue-Sun
Restaurant_4,1195,Chinese,Dadar,Cafe,10am to 11pm,Poor,3.4,3065,Tue-Sun
Restaurant_5,1738,Cafe,Andheri,Fine Dining,10am to 11pm,Good,3.5,8359,Tue-Sun
Restaurant_6,2269,Fast Food,Andheri,Quick Bites,10am to 11pm,Good,4.8,4602,Mon-Sun
Restaurant_7,566,Cafe,Andheri,Dessert Parlor,12noon to 1am,Excellent,4.2,6227,Mon-Fri
Restaurant_8,1338,Chinese,Andheri,Cafe,10am to 11pm,Excellent,3.3,8168,Mon-Sun
Restaurant_9,430,Fast Food,Dadar,Fine Dining,10am to 11pm,Poor,3.4,4252,Mon-Sun
Restaurant_10,1582,Cafe,Andheri,Bar,11am to 12midnight,Average,3.7,494,Mon-Fri
Restaurant_11,2235,Seafood,Vashi,Cafe,12noon to 1am,Good,3.4,8472,Tue-Sun
Restaurant_12,230,Seafood,Chembur,Cafe,12noon to 1am,Average,3.0,6053,Mon-Sun
Restaurant_13,1785,Cafe,Dadar,Dessert Parlor,10am to 11pm,Good,3.6,6715,Mon-Sun
Restaurant_14,869,Cafe,Dadar,Bar,10am to 11pm,Excellent,2.7,4906,Mon-Fri
Restaurant_15,2491,North Indian,Malad,Cafe,12noon to 1am,Excellent,4.6,6274,Tue-Sun
Restaurant_16,1615,North Indian,Dadar,Dessert Parlor,12noon to 1am,Excellent,4.6,5471,Mon-Fri
Restaurant_17,1315,Italian,Chembur,Dessert Parlor,10am to 11pm,Poor,4.7,6351,Tue-Sun
Restaurant_18,1055,Fast Food,Powai,Fine Dining,10am to 11pm,Good,3.6,651,Mon-Sun
Restaurant_19,2424,Italian,Dadar,Cafe,10am to 11pm,Excellent,4.1,3572,Tue-Sun
Restaurant_20,1284,Italian,Vashi,Casual Dining,11am to 12midnight,Poor,4.5,1204,Tue-Sun
Restaurant_21,559,Chinese,Dadar,Casual Dining,12noon to 1am,Average,3.3,1187,Mon-Sun
Restaurant_22,121,Seafood,Powai,Quick Bites,11am to 12midnight,Poor,4.1,8782,Mon-Sun
Restaurant_23,2400,Chinese,Malad,Casual Dining,12noon to 1am,Poor,3.6,9504,Mon-Sun
